"","TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"1","Commercial Break and Enter",2014,1,"800 BEATTY ST",NA,NA,NA,"VANCOUVER BC"
"2","Commercial Break and Enter",2014,1,"2900 PRINCE EDWARD ST",NA,NA,NA,"VANCOUVER BC"
"3","Commercial Break and Enter",2014,1,"100 W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"4","Commercial Break and Enter",2014,1,"400 W 2ND AVE",NA,NA,NA,"VANCOUVER BC"
"5","Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"6","Commercial Break and Enter",2014,1,"3600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"7","Commercial Break and Enter",2014,1,"700 SE MARINE DR",NA,NA,NA,"VANCOUVER BC"
"8","Commercial Break and Enter",2014,1,"6400 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"9","Commercial Break and Enter",2014,1,"500 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"10","Commercial Break and Enter",2014,1,"700 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"11","Commercial Break and Enter",2014,1,"700 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"12","Commercial Break and Enter",2014,1,"800 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"13","Commercial Break and Enter",2014,1,"5700 OAK ST",NA,NA,NA,"VANCOUVER BC"
"14","Commercial Break and Enter",2014,1,"8200 MANITOBA ST",NA,NA,NA,"VANCOUVER BC"
"15","Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"16","Commercial Break and Enter",2014,1,"2300 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"17","Commercial Break and Enter",2014,1,"100 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"18","Commercial Break and Enter",2014,1,"2900 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"19","Commercial Break and Enter",2014,1,"700 THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"20","Commercial Break and Enter",2014,1,"100 W 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"21","Commercial Break and Enter",2014,1,"1000 HARWOOD ST",NA,NA,NA,"VANCOUVER BC"
"22","Commercial Break and Enter",2014,1,"100 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"23","Commercial Break and Enter",2014,1,"2900 W 4TH AVE",NA,NA,NA,"VANCOUVER BC"
"24","Commercial Break and Enter",2014,1,"600 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"25","Commercial Break and Enter",2014,1,"2600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"26","Commercial Break and Enter",2014,1,"2600 FIR ST",NA,NA,NA,"VANCOUVER BC"
"27","Commercial Break and Enter",2014,1,"200 E 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"28","Commercial Break and Enter",2014,1,"100 E 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"29","Commercial Break and Enter",2014,1,"500 SMITHE ST",NA,NA,NA,"VANCOUVER BC"
"30","Commercial Break and Enter",2014,1,"700 BEATTY ST",NA,NA,NA,"VANCOUVER BC"
"31","Commercial Break and Enter",2014,1,"500 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"32","Commercial Break and Enter",2014,1,"700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"33","Commercial Break and Enter",2014,1,"1800 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"34","Commercial Break and Enter",2014,1,"8500 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"35","Commercial Break and Enter",2014,1,"2200 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"36","Commercial Break and Enter",2014,1,"1300 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"37","Commercial Break and Enter",2014,1,"1300 E KENT N AVE",NA,NA,NA,"VANCOUVER BC"
"38","Commercial Break and Enter",2014,1,"6300 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"39","Commercial Break and Enter",2014,1,"2900 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
