"TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"Commercial Break and Enter",2014,1,"800 BEATTY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2900 PRINCE EDWARD ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 W 2ND AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"3600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 SE MARINE DR",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"6400 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"500 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"800 SAWYERS LANE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"5700 OAK ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"8200 MANITOBA ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2300 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2900 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1000 HARWOOD ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2900 W 4TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"600 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2600 FIR ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"200 E 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 E 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"500 SMITHE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 BEATTY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"500 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
